Company,JobClosed,ClosedDate,JobComplete,JobCompletionDate,JobEngineered,CheckOff1,CheckOff2,CheckOff3,CheckOff4,CheckOff5,JobReleased,JobHeld,SchedStatus,JobNum,PartNum,RevisionNum,DrawNum,PartDescription,ProdQty,IUM,StartDate,StartHour,DueDate,DueHour,ReqDueDate,JobCode,QuoteNum,QuoteLine,ProdCode,UserChar1,UserChar2,UserChar3,UserChar4,UserDate1,UserDate2,UserDate3,UserDate4,UserDecimal1,UserDecimal2,UserInteger1,UserInteger2,CommentText,ExpenseCode,InCopyList,WIName,WIStartDate,WIStartHour,WIDueDate,WIDueHour,Candidate,SchedCode,SchedLocked,ProjectID,WIPCleared,JobFirm,PersonList,PersonID,ProdTeamID,QtyCompleted,Plant,DatePurged,TravelerReadyToPrint,TravelerLastPrinted,StatusReadyToPrint,StatusLastPrinted,CallNum,CallLine,JobType,RestoreFlag,PhaseID,AnalysisCode,LockQty,HDCaseNum,ProcessMode,PlannedActionDate,PlannedKitDate,MSPTaskID,MSPPredecessor,UserMapData,ProductionYield,OrigProdQty,PreserveOrigQtys,NoAutoCompletion,NoAutoClosing,CreatedBy,CreateDate,WhseAllocFlag,OwnershipStatus,PDMObjID,ExportRequested,SplitMfgCostElements,XRefPartNum,XRefPartType,XRefCustNum,BasePartNum,BaseRevisionNum,RoughCutScheduled,EquipID,PlanNum,MaintPriority,SplitJob,NumberSource,CloseMeterReading,IssueTopicID1,IssueTopicID2,IssueTopicID3,IssueTopicID4,IssueTopicID5,IssueTopicID6,IssueTopicID7,IssueTopicID8,IssueTopicID9,IssueTopicID10,IssueTopics,ResTopicID1,ResTopicID2,ResTopicID3,ResTopicID4,ResTopicID5,ResTopicID6,ResTopicID7,ResTopicID8,ResTopicID9,ResTopicID10,ResTopics,Forward,SchedSeq,PAAExists,DtlsWithinLeadTime,GroupSeq,RoughCut,PlanGUID,PlanUserID,LastChangedBy,LastChangedOn,EPMExportLevel,JobWorkflowState,JobCSR,ExternalMES,SysRowID,LastExternalMESDate,LastScheduleDate,LastScheduleProc,SchedPriority,DaysLate,ContractID,ProjProcessed,SyncReqBy,CustName,CustID,IsCSRSet,UnReadyCostProcess,ProcSuspendedUpdates,ProjProcessedDate,PCLinkRemoved,ForeignSysRowID,ssePart_c,EngineerCode_c,EngineeringApproval_c,EngineeringReview_c,QtyMinimum_c,Customer_c,QualityApproval_c,InitialReview_c
HEM,0,,0,,1,0,0,0,0,0,0,1,R,83513,AS5174J0604,E,,"Fitting, Union",250,EA,2018-09-06,22,2018-10-30,0,2018-10-30,,0,0,CUSTOM,,,,,,,,,0,0,0,0,Vendor Supplied Material No Bom Required,,1,,2018-09-06,22,2018-10-30,0,0,NORMAL,0,,0,1,RPaul,RPaul,,0,MfgSys,,0,,0,,0,0,MFG,,,,1,0,S,2018-09-06,2018-09-06,,,,1,49,0,0,0,Ejorge,2018-03-26,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,16390,1,0,0,1,,,,,0,,,0,DC86EF62-B7CB-4878-B0C9-00046559B425,,,,-977190,95,,0,0,,,0,0,,,0,DC86EF62-B7CB-4878-B0C9-00046559B425,0,,1,1,250,DETAIL,1,1
HEM,1,2018-02-19,1,2018-02-19,1,0,0,0,0,0,1,0,1,70398,2587-366,A,,"Shaft, Lead Rotor",200,EA,2017-12-15,16.52,2018-01-19,24,2018-01-21,,0,0,SHAFT,,,,,,,,,0,0,0,0,"Contract #               Dpas Rating
Po-0033666                      Do-a2",,1,,2017-12-15,16.52,2018-01-19,24,1,NORMAL,0,,1,1,RPaul,RPaul,,702,MfgSys,,0,2017-11-04,0,,0,0,MFG,,,,1,0,S,2017-12-15,2017-12-15,,,,1,200,0,0,0,sclark,2017-09-28,0,,,,1,,,0,,,0,,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,0,,,0,44BF150A-7932-4115-B00C-0014E2012368,,,,-977190,95,,0,0,,,0,0,,,0,44BF150A-7932-4115-B00C-0014E2012368,0,,1,1,185,KAMAN,1,1
HEM,1,2018-03-26,1,2018-03-26,1,0,0,0,0,0,1,1,R,80586,BE732018-34,B,,"Pin, Straight, Headed",100,EA,2018-01-19,12.53,2018-03-21,0,2018-03-21,,0,0,PIN,,,,,,,,,0,0,0,0,,,1,,2018-01-19,12.53,2018-03-21,0,1,NORMAL,0,,1,1,RPaul,RPaul,,96,MfgSys,,0,2017-12-20,0,,0,0,MFG,,,,1,0,S,2018-01-19,2018-01-19,,,,1,100,0,0,0,Ejorge,2017-11-07,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,,,,,0,,,0,2D92638A-C6F8-4B0B-AD20-0016DAAFE444,,,,0,0,,0,0,,,0,0,,,0,2D92638A-C6F8-4B0B-AD20-0016DAAFE444,0,,1,1,90,B&E,1,1
HEM,1,2017-11-27,1,2017-11-27,1,0,0,0,0,0,1,0,1,68912,815218-1,C,,"Rod, Tie",100,EA,2017-09-28,0,2017-11-13,7.43,2017-11-17,,0,0,ROD,,,,,,,,,0,0,0,0,Pull In To Cover Scrap From Previous Lot,,1,,2017-09-28,0,2017-11-13,7.43,1,NORMAL,0,,1,1,,,,91,MfgSys,,0,2017-09-30,0,,0,0,MFG,,,,1,0,S,2017-09-28,2017-09-28,,,,1,100,0,0,0,sclark,2017-09-28,0,,,,1,,,0,,,0,,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,0,70212EE4-4EF2-4BD9-B44E-0022DF4230CB,,,,-1003590,-15,,0,0,,,0,0,,,0,70212EE4-4EF2-4BD9-B44E-0022DF4230CB,0,,1,1,0,,0,0
HEM,0,,0,,1,0,0,0,0,0,0,1,R,83399,725608-4,D,,Bushing,125,EA,2018-06-01,13.25,2018-06-25,0,2018-06-25,,0,0,BUSHING,,,,,,,,,0,0,0,0,,,1,,2018-06-01,13.25,2018-06-25,0,0,NORMAL,0,,0,1,RPaul,RPaul,,0,MfgSys,,0,,0,,0,0,MFG,,,,1,0,S,2018-06-01,2018-06-01,,,,1,42,0,0,0,Ejorge,2018-03-21,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,9150,1,0,0,0,,,,,0,,,0,750D8ABB-8CDF-41B1-A695-002F981C2402,,,,-1000230,-1,,0,0,,,0,0,,,0,750D8ABB-8CDF-41B1-A695-002F981C2402,0,,1,1,115,ALP,1,1
HEM,0,,0,,1,0,0,0,0,0,1,1,R,83137,816096-11,N/C,,"Cover, Valve",125,EA,2018-06-01,19,2018-09-14,0,2018-09-14,,0,0,CUSTOM,,,,,,,,,0,0,0,0,"Detail For 816096-1Gov contract:                        DPAS:FA8625-11-C-6597                 DO-A1FA8625-14-C-6450                 DO-A1GLD-14-C130-0002                UN-RATFA8625-06-C-6456                 DO-A1",,1,,2018-06-01,19,2018-09-14,0,0,NORMAL,0,,0,1,RPaul,RPaul,,0,MfgSys,,0,2018-05-31,0,,0,0,MFG,,,,1,0,S,2018-06-01,2018-06-01,,,,1,75,0,0,0,Ejorge,2018-03-19,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,9090,1,0,0,0,,,,,0,,,0,5FFC390B-48BF-413D-80D0-0039D42BF1ED,,,,-1000710,-3,,0,0,,,0,0,,,0,5FFC390B-48BF-413D-80D0-0039D42BF1ED,0,574,1,1,110,DETAIL,1,1
HEM,1,2018-02-28,1,2018-02-28,1,0,0,0,0,0,1,1,R,80917,519537,N/C,,Spacer,300,EA,2018-02-14,6,2018-03-17,17,2018-02-21,,0,0,SPACER,,,,,,,,,0,0,0,0,"Derco's government contract # SPE4AX-14-D-9417Priority Rating: DO-A1",,1,,2018-02-14,6,2018-03-17,17,1,NORMAL,0,,1,1,RPaul,RPaul,,299,MfgSys,,0,2018-01-18,0,,0,0,MFG,,,,1,0,S,2018-03-16,2018-03-16,,,,1,56,0,0,0,Ejorge,2017-11-29,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,,,,,0,,,0,D147C662-0274-401F-AFB0-004417209EAB,,,,0,0,,0,0,,,0,0,,,0,D147C662-0274-401F-AFB0-004417209EAB,0,,1,1,250,DERCO,1,1
HEM,1,2018-04-11,1,2018-04-05,1,0,0,0,0,0,1,1,R,80639,69539P2,N/C,,"Plug, Pipe",600,EA,2018-03-14,21.5,2018-04-04,0,2018-04-04,,0,0,PLUG,,,,,,,,,0,0,0,0,,,1,,2018-03-14,21.5,2018-04-04,0,1,NORMAL,0,,1,1,RPaul,RPaul,,600,MfgSys,,0,2018-03-01,0,,0,0,MFG,,,,1,0,S,2018-03-14,2018-03-14,,,,1,595,0,0,0,Ejorge,2017-11-08,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,,,,,0,,,0,B0A6D379-90A5-424B-86C2-0059005D49BF,,,,-999990,0,,0,0,,,0,0,,,0,B0A6D379-90A5-424B-86C2-0059005D49BF,0,,1,1,600,SENIOR AEROSPACE,1,1
HEM,1,2017-12-21,1,2017-12-13,1,0,0,0,0,0,1,0,1,70116,5N0WM4N-002,N/C,,Snowman Middle Ball,250,EA,2017-09-28,0,2017-11-22,19.5,2017-10-01,,0,0,CUSTOM,,,,,,,,,0,0,0,0,,,1,,2017-09-28,0,2017-11-22,19.5,0,NORMAL,0,,1,1,,,,0,MfgSys,,0,2017-09-30,0,,0,0,MFG,,,,1,0,S,2017-09-28,2017-09-28,,,,1,250,0,0,0,sclark,2017-09-28,0,,,,1,,,0,,,0,,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,0,162A58A3-5C27-43BF-BFA5-00736CDC05BB,,,,-1005510,-23,,0,0,,,0,0,,,0,162A58A3-5C27-43BF-BFA5-00736CDC05BB,0,,1,1,0,,1,0
SMC,0,,0,,1,0,0,0,0,0,1,1,R,021783,R260P16L,T,,Nut- Wire Swivel Connector,100,EA,2018-02-21,12,2018-07-02,8,2018-02-18,,0,0,NUT,,,,,,,,,0,0,0,0,,,1,,2018-02-21,12,2018-07-02,8,0,NORMAL,0,,0,1,,,,0,MfgSys,,0,2018-05-09,0,,0,0,MFG,,,,0,0,S,2018-02-19,2018-02-21,,,,1,100,0,0,0,Ejorge,2018-02-01,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1190,0,0,0,1,,,,,0,,,0,09395B2A-5800-4C5A-A500-00861C777157,,,,-1009350,-39,,0,0,,,0,0,,,0,09395B2A-5800-4C5A-A500-00861C777157,0,,1,1,0,,1,1
